"Plan_name","fund_family","fund_class","fund_type","investment_plan","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","asset_size1","asset_date","riskometer"
"Sundaram Equity Multiplier Fund - Direct Plan (G) ","Sundaram Mutual Fund","Diversified Equity","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","S&P CNX 500","Jan 01, 2013","4.0","8.4","13.1","34.8","26.5","14.8","17.7","64","69","85","60","99","65","76","14.5","-5.1","3.0","3.8","-14.0","3.4","7.1","-0.5","25.5","-2.3","2.6","6.5","-2.5","3.9","-4.1","11.0","-3.0","1.1","10.5","15.8","37.0","7.4","3.0","49.8","-3.7","34.98 (Jan 15, 18)","25.55 (Jan 20, 17)","HDFC Bank","Reliance","Larsen","HDFC","Infosys","SBI","ICICI Bank","Kotak Mahindra","ITC","NTPC","Banking/Finance","Oil & Gas","Engineering","Banking/Finance","Technology","Banking/Finance","Banking/Finance","Banking/Finance","Tobacco","Utilities","14.83","14.74","10.95","10.89","9.76","8.97","7.78","6.50","6.40","6.16","4.82","4.79","3.56","3.54","3.17","2.92","2.53","2.11","2.08","2.00",92.27,0,0,"N.A",6.59,1.13,"19.88","31.52","39.44","Banking/Finance","Technology","Oil & Gas","Miscellaneous","Chemicals","Automotive","19.18","12.07","8.19","6.88","6.73","5.95","23.23","10.78","13.50","2.05","9.38","5.50","23.23","10.78","13.50","2.05","9.38","5.50","Dec-17","5.1","Sep-17","4.5","Jun-17","4.3","Mar-17","3.8","Dec-16","3.8","Sep-16","4.2","Jun-16","17.4","Mar-16","5.2","Dec-15","1.2","Sep-15","1.1","Jun-15","0.9","Mar-15","0.4","Dec-14","0.2","Sep-14","0.2","Jun-14","0.1","Mar-14","0.0","Dec-13","0.0","Sep-13","0.0","Jun-13","0.0","Mar-13","0.0","307.6","Nov-30-2017","MODERATELY HIGH"
"Sundaram Equity Multiplier Fund (G) ","Sundaram Mutual Fund","Diversified Equity","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","S&P CNX 500","Jan 31, 2007","3.8","7.9","12.3","33.4","25.6","14.1","17.3","68","80","109","76","111","75","86","14.4","-5.1","2.8","3.5","-14.0","3.2","6.8","-0.6","25.3","-2.3","2.4","6.4","-2.6","3.7","-4.1","10.5","-3.0","1.1","10.3","15.7","35.8","7.0","2.6","48.5","-4.0","33.90 (Jan 15, 18)","25.02 (Jan 20, 17)","HDFC Bank","Reliance","Larsen","HDFC","Infosys","SBI","ICICI Bank","Kotak Mahindra","ITC","NTPC","Banking/Finance","Oil & Gas","Engineering","Banking/Finance","Technology","Banking/Finance","Banking/Finance","Banking/Finance","Tobacco","Utilities","14.83","14.74","10.95","10.89","9.76","8.97","7.78","6.50","6.40","6.16","4.82","4.79","3.56","3.54","3.17","2.92","2.53","2.11","2.08","2.00",92.27,0,0,"N.A",6.59,1.13,"19.88","31.52","39.44","Banking/Finance","Technology","Oil & Gas","Miscellaneous","Chemicals","Automotive","19.18","12.07","8.19","6.88","6.73","5.95","23.23","10.78","13.50","2.05","9.38","5.50","23.23","10.78","13.50","2.05","9.38","5.50","Dec-17","299.9","Sep-17","285.4","Jun-17","275.8","Mar-17","255.3","Dec-16","257.5","Sep-16","240.9","Jun-16","151.7","Mar-16","430.6","Dec-15","176.9","Sep-15","132.7","Jun-15","127.0","Mar-15","128.7","Dec-14","123.3","Sep-14","120.2","Jun-14","114.4","Mar-14","107.5","Dec-13","111.6","Sep-13","111.4","Jun-13","123.9","Mar-13","142.2","307.6","Nov-30-2017","MODERATELY HIGH"
"Sundaram Equity Plus - Direct Plan (G) ","Sundaram Mutual Fund","Large Cap","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","4.4","6.0","9.5","20.5","15.6","6.7","8.0","13","69","81","129","129","121","119","8.8","1.4","1.9","4.4","-5.9","1.8","6.2","-1.9","8.0","-0.4","1.9","2.6","-3.7","3.1","2.0","5.6","-7.2","0.7","1.8","3.1","20.7","4.2","-1.6","18.7","0.1","16.66 (Jan 17, 18)","13.73 (Jan 20, 17)","HDFC Bank","Reliance","HDFC","Infosys","Larsen","ICICI Bank","SBI","TCS","ITC","NTPC","Banking/Finance","Oil & Gas","Banking/Finance","Technology","Engineering","Banking/Finance","Banking/Finance","Technology","Tobacco","Utilities","2.22","2.03","1.84","1.76","1.64","1.54","1.44","1.12","1.02","0.99","5.39","4.91","4.47","4.26","3.98","3.73","3.49","2.71","2.48","2.41",67.07,0,0,"29.84",1.65,1.41,"23.01","37.83","41.35","Banking/Finance","Technology","Oil & Gas","Automotive","Engineering","Tobacco","20.43","11.14","9.78","6.96","3.98","2.48","19.90","10.62","9.43","6.35","2.60","5.21","19.90","10.62","9.43","6.35","2.60","5.21","Dec-17","4.2","Sep-17","4.1","Jun-17","3.9","Mar-17","3.8","Dec-16","3.8","Sep-16","4.1","Jun-16","4.1","Mar-16","5.1","Dec-15","4.1","Sep-15","4.3","Jun-15","4.4","Mar-15","4.3","Dec-14","4.3","Sep-14","4.5","Jun-14","4.7","Mar-14","4.9","Dec-13","5.4","Sep-13","5.5","Jun-13","0.4","Mar-13","0.2","41.3","Nov-30-2017","MODERATELY HIGH"
"Sundaram Equity Plus (G) ","Sundaram Mutual Fund","Large Cap","Open-Ended","Dividend",5000,"N.A.","N.A.","N.A.","1.00%","","May 16, 2011","4.2","5.6","8.8","19.3","14.6","5.9","7.2","17","85","104","130","130","122","120","8.6","1.2","1.7","3.6","-5.5","1.6","5.9","-2.1","8.2","-0.5","1.7","2.4","-3.9","2.9","2.0","5.2","-7.3","0.5","1.6","3.1","19.6","3.4","-2.3","17.5","0.3","16.05 (Jan 17, 18)","13.36 (Jan 20, 17)","HDFC Bank","Reliance","HDFC","Infosys","Larsen","ICICI Bank","SBI","TCS","ITC","NTPC","Banking/Finance","Oil & Gas","Banking/Finance","Technology","Engineering","Banking/Finance","Banking/Finance","Technology","Tobacco","Utilities","2.22","2.03","1.84","1.76","1.64","1.54","1.44","1.12","1.02","0.99","5.39","4.91","4.47","4.26","3.98","3.73","3.49","2.71","2.48","2.41",67.07,0,0,"29.84",1.65,1.41,"23.01","37.83","41.35","Banking/Finance","Technology","Oil & Gas","Automotive","Engineering","Tobacco","20.43","11.14","9.78","6.96","3.98","2.48","19.90","10.62","9.43","6.35","2.60","5.21","19.90","10.62","9.43","6.35","2.60","5.21","Dec-17","37.3","Sep-17","39.0","Jun-17","40.6","Mar-17","41.1","Dec-16","42.3","Sep-16","46.4","Jun-16","45.9","Mar-16","77.6","Dec-15","46.6","Sep-15","49.9","Jun-15","54.3","Mar-15","58.9","Dec-14","62.2","Sep-14","67.5","Jun-14","75.3","Mar-14","81.2","Dec-13","89.8","Sep-13","94.1","Jun-13","106.5","Mar-13","118.9","41.3","Nov-30-2017","MODERATELY HIGH"
"Sundaram Financial Services Opportunities - Direct Plan (G) ","Sundaram Mutual Fund","Sector - Banking & Finance","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","Bank Nifty","Jan 01, 2013","3.6","8.4","7.6","32.3","33.3","11.9","14.4","9","8","18","19","17","11","11","18.3","-4.9","-1.6","9.7","-13.7","6.2","14.8","-1.9","20.3","-0.3","1.3","9.3","-6.1","0.4","-19.4","5.9","-7.6","-2.5","21.0","18.2","35.7","12.7","-8.8","58.3","-14.6","42.03 (Jan 17, 18)","31.47 (Jan 20, 17)","HDFC Bank","ICICI Bank","Kotak Mahindra","SBI","Axis Bank","Bharat Fin","Yes Bank","DCB Bank","HUDCO","Bank of Baroda","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Real Estate","Banking/Finance","43.56","23.98","14.70","11.85","10.04","6.86","4.60","3.24","2.96","2.79","27.59","15.19","9.31","7.51","6.36","4.35","2.92","2.05","1.88","1.77",95.79,0,0,"N.A",3.06,1.19,"65.96","78.93","92.60","Banking/Finance","Miscellaneous","Real Estate","Manufacturing","Conglomerates","-","84.03","6.69","1.88","1.74","1.45","-","90.10","2.82","0.00","2.05","0.00","-","90.10","2.82","0.00","2.05","0.00","-","Dec-17","5.0","Sep-17","4.9","Jun-17","4.7","Mar-17","4.2","Dec-16","3.7","Sep-16","3.7","Jun-16","4.9","Mar-16","63.8","Dec-15","26.3","Sep-15","3.5","Jun-15","3.6","Mar-15","3.3","Dec-14","2.7","Sep-14","2.2","Jun-14","1.8","Mar-14","1.4","Dec-13","1.4","Sep-13","1.4","Jun-13","0.8","Mar-13","0.5","157.9","Nov-30-2017","HIGH"
"Sundaram Financial Services Opportunities - Inst. Plan (G) ","Sundaram Mutual Fund","Sector - Banking & Finance","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","Bank Nifty","May 14, 2008","3.6","8.4","7.6","32.3","33.2","11.9","14.5","9","8","18","19","18","13","10","18.3","-4.9","-1.6","9.4","-12.7","6.2","14.6","-1.9","20.3","-0.2","1.3","9.3","-6.1","0.4","-19.4","5.9","-7.6","-2.5","21.0","18.2","35.7","12.6","-8.8","58.0","-13.5","43.22 (Jan 17, 18)","32.36 (Jan 20, 17)","HDFC Bank","ICICI Bank","Kotak Mahindra","SBI","Axis Bank","Bharat Fin","Yes Bank","DCB Bank","HUDCO","Bank of Baroda","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Real Estate","Banking/Finance","43.56","23.98","14.70","11.85","10.04","6.86","4.60","3.24","2.96","2.79","27.59","15.19","9.31","7.51","6.36","4.35","2.92","2.05","1.88","1.77",95.79,0,0,"N.A",3.06,1.19,"65.96","78.93","92.60","Banking/Finance","Miscellaneous","Real Estate","Manufacturing","Conglomerates","-","84.03","6.69","1.88","1.74","1.45","-","90.10","2.82","0.00","2.05","0.00","-","90.10","2.82","0.00","2.05","0.00","-","Dec-17","0.1","Sep-17","0.1","Jun-17","0.0","Mar-17","0.0","Dec-16","0.0","Sep-16","0.0","Jun-16","0.0","Mar-16","0.1","Dec-15","0.0","Sep-15","0.0","Jun-15","0.0","Mar-15","0.0","Dec-14","0.0","Sep-14","0.0","Jun-14","0.0","Mar-14","0.0","Dec-13","0.1","Sep-13","0.0","Jun-13","0.1","Mar-13","0.1","157.9","Nov-30-2017","HIGH"
"Sundaram Financial Services Opportunities - Retail Plan (G) ","Sundaram Mutual Fund","Sector - Banking & Finance","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","1.00%","Bank Nifty","May 14, 2008","3.4","8.0","6.8","30.8","32.2","11.1","13.9","11","12","20","21","20","14","12","18.1","-4.9","-1.8","9.4","-12.8","5.9","14.5","-2.0","20.2","-0.4","1.0","9.2","-6.1","0.3","-19.4","5.5","-7.7","-2.6","20.8","18.2","34.3","12.1","-9.1","57.2","-13.9","40.78 (Jan 17, 18)","30.88 (Jan 20, 17)","HDFC Bank","ICICI Bank","Kotak Mahindra","SBI","Axis Bank","Bharat Fin","Yes Bank","DCB Bank","HUDCO","Bank of Baroda","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Real Estate","Banking/Finance","43.56","23.98","14.70","11.85","10.04","6.86","4.60","3.24","2.96","2.79","27.59","15.19","9.31","7.51","6.36","4.35","2.92","2.05","1.88","1.77",95.79,0,0,"N.A",3.06,1.19,"65.96","78.93","92.60","Banking/Finance","Miscellaneous","Real Estate","Manufacturing","Conglomerates","-","84.03","6.69","1.88","1.74","1.45","-","90.10","2.82","0.00","2.05","0.00","-","90.10","2.82","0.00","2.05","0.00","-","Dec-17","152.0","Sep-17","153.0","Jun-17","150.5","Mar-17","131.6","Dec-16","126.4","Sep-16","131.5","Jun-16","120.4","Mar-16","447.9","Dec-15","189.9","Sep-15","131.6","Jun-15","134.2","Mar-15","142.6","Dec-14","133.3","Sep-14","126.7","Jun-14","133.2","Mar-14","125.8","Dec-13","133.5","Sep-13","132.2","Jun-13","167.5","Mar-13","187.0","157.9","Nov-30-2017","HIGH"
"Sundaram Fixed Income Interval Fund-Quarterly Series-Plan C - Direct (G) ","Sundaram Mutual Fund","Fixed Maturity / Interval Plans","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Feb 05, 2014","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.00 ()","0.00 ()","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0",NA,"LOW"
"Sundaram Fixed Income Interval Fund-Quarterly Series-Plan C - Regular (G) ","Sundaram Mutual Fund","Fixed Maturity / Interval Plans","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Feb 05, 2014","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.00 ()","0.00 ()","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0",NA,"LOW"
"Sundaram Flexible Fund - Flexible Income - Direct Plan (G) ","Sundaram Mutual Fund","Debt Long Term","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","-0.2","-0.5","1.4","5.1","8.9","8.2","-","54","58","36","29","43","25","-","0.7","2.2","3.2","2.3","-","2.6","1.8","-0.1","5.1","-1.8","2.5","5.1","3.8","1.9","-4.4","-0.3","1.6","1.1","5.3","2.5","5.6","12.0","8.7","15.1","-3.7","24.61 (Nov 21, 17)","22.92 (Mar 10, 17)","Rural Electrification Corporation Ltd - 8.82% - 12/04/2023","7.68% Central Government Securities 15/12/2023 **","Nuclear Power Corporation of India Ltd - 8.56% - 15/03/2023**","LIC Housing Finance Ltd - 8.48% - 09/06/2023**","Power Finance Corporation Ltd - 8.9% - 18/03/2023**","Reliance Ports and Terminals Ltd - 8.45% - 12/06/2023**","Reliance Utilities and Power Pvt Ltd - 8.95% - 26/04/2023**","Indian Railway Finance Corporation Ltd - 8.83% - 25/03/2023**","Power Grid Corporation of India Ltd - 8.8% - 13/03/2023**","8.18% Haryana State Development Loan 15/06/2023**","CRISIL AAA","Sovereign","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","Sovereign","68.64","61.95","52.68","48.34","47.53","40.98","31.25","26.47","26.43","25.91","9.29","8.38","7.13","6.54","6.43","5.54","4.23","3.58","3.58","3.51",0,0,87.46,"N.A",10.38,2.15,"37.77","58.21","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","144.2","Sep-17","85.9","Jun-17","86.7","Mar-17","118.8","Dec-16","129.4","Sep-16","43.5","Jun-16","47.3","Mar-16","45.2","Dec-15","20.7","Sep-15","19.3","Jun-15","17.4","Mar-15","21.8","Dec-14","22.7","Sep-14","16.7","Jun-14","10.9","Mar-14","3.5","Dec-13","3.4","Sep-13","3.3","Jun-13","1.0","739.0","Nov-30-2017","MODERATE"
"Sundaram Flexible Fund - Flexible Income - Institutional (G) ","Sundaram Mutual Fund","Debt Long Term","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Dec 24, 2004","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.4","1.7","1.8","1.5","1.3","-","2.2","1.8","1.5","1.5","-","1.1","1.9","1.7","1.4","-","-0.2","2.0","2.0","19.1","0.5","7.0","8.0","7.1","24.4","16.24 (Apr 19, 10)","16.24 (Apr 19, 10)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.0","Apr-30-2010",NA
"Sundaram Flexible Fund - Flexible Income - Regular Plan (G) ","Sundaram Mutual Fund","Debt Long Term","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Dec 24, 2004","-0.3","-0.6","1.1","4.5","8.3","7.8","7.9","57","67","44","44","73","43","71","0.6","2.2","3.2","2.3","1.5","2.5","1.8","-0.1","5.1","-0.1","2.3","4.9","3.8","1.8","-4.4","-0.4","1.5","1.0","5.2","2.5","4.9","11.6","8.5","14.9","-0.4","24.29 (Nov 21, 17)","22.72 (Mar 10, 17)","Rural Electrification Corporation Ltd - 8.82% - 12/04/2023","7.68% Central Government Securities 15/12/2023 **","Nuclear Power Corporation of India Ltd - 8.56% - 15/03/2023**","LIC Housing Finance Ltd - 8.48% - 09/06/2023**","Power Finance Corporation Ltd - 8.9% - 18/03/2023**","Reliance Ports and Terminals Ltd - 8.45% - 12/06/2023**","Reliance Utilities and Power Pvt Ltd - 8.95% - 26/04/2023**","Indian Railway Finance Corporation Ltd - 8.83% - 25/03/2023**","Power Grid Corporation of India Ltd - 8.8% - 13/03/2023**","8.18% Haryana State Development Loan 15/06/2023**","CRISIL AAA","Sovereign","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","Sovereign","68.64","61.95","52.68","48.34","47.53","40.98","31.25","26.47","26.43","25.91","9.29","8.38","7.13","6.54","6.43","5.54","4.23","3.58","3.58","3.51",0,0,87.46,"N.A",10.38,2.15,"37.77","58.21","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","502.0","Sep-17","444.1","Jun-17","439.8","Mar-17","515.3","Dec-16","591.8","Sep-16","615.3","Jun-16","531.9","Mar-16","2,389.9","Dec-15","407.9","Sep-15","349.1","Jun-15","342.0","Mar-15","320.4","Dec-14","304.3","Sep-14","302.6","Jun-14","340.5","Mar-14","389.4","Dec-13","405.2","Sep-13","449.4","Jun-13","184.6","Mar-13","1.3","739.0","Nov-30-2017","MODERATE"
"Sundaram Flexible Fund - Short Term Plan - Direct Plan (G) ","Sundaram Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","-","0.2","2.0","6.3","7.1","7.5","8.1","178","180","178","126","149","136","120","1.6","2.2","2.2","2.3","1.9","2.1","1.8","1.9","2.3","2.3","2.0","1.9","2.1","2.0","1.2","0.2","1.6","1.7","2.2","2.5","6.2","7.9","8.5","9.3","8.6","27.02 (Nov 21, 17)","25.38 (Jan 18, 17)","8.15% Rajasthan State Development Loan 23/06/2021","National Highway Authority of India - 7.17% - 23/12/2021","Rural Electrification Corporation Ltd - 7.24% - 21/10/2021","Power Finance Corporation Ltd - 7.47% - 16/09/2021","HDB Financial Services Ltd - 7.8% - 29/06/2020","LIC Housing Finance Ltd - 7.81% - 19/10/2021","Indian Railway Finance Corporation Ltd - 7.2% - 31/05/2020","Power Grid Corporation of India Ltd - 8.13% - 25/04/2021","Power Finance Corporation Ltd - 7.27% - 22/12/2021","Housing Development Finance Corporation Ltd - 1.5% - 18/06/2020","Sovereign","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","201.07","134.36","89.68","75.05","74.21","70.26","70.01","51.22","49.72","46.88","15.08","10.08","6.73","5.63","5.57","5.27","5.25","3.84","3.73","3.52",0,0,88.86,"N.A",8.07,3.09,"43.09","64.70","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","804.1","Sep-17","714.1","Jun-17","570.9","Mar-17","401.3","Dec-16","408.6","Sep-16","595.0","Jun-16","557.9","Mar-16","1,654.3","Dec-15","440.6","Sep-15","387.1","Jun-15","371.9","Mar-15","302.9","Dec-14","448.3","Sep-14","481.9","Jun-14","453.4","Mar-14","191.3","Dec-13","167.5","Sep-13","131.7","Jun-13","126.5","Mar-13","29.3","1,332.9","Nov-30-2017","MODERATELY LOW"
"Sundaram Flexible Fund - Short Term Plan - Regular Plan (G) ","Sundaram Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth",5000,"N.A.","N.A.","N.A.","N.A.","","Dec 24, 2004","-","0.2","2.0","6.2","7.0","7.5","8.1","179","181","178","126","149","136","120","1.6","2.2","2.2","2.4","2.1","2.1","1.8","1.9","2.3","2.2","2.0","1.9","2.1","2.0","1.1","0.2","1.6","1.7","2.2","2.4","6.2","7.9","8.4","9.3","8.5","26.92 (Nov 21, 17)","25.30 (Jan 18, 17)","8.15% Rajasthan State Development Loan 23/06/2021","National Highway Authority of India - 7.17% - 23/12/2021","Rural Electrification Corporation Ltd - 7.24% - 21/10/2021","Power Finance Corporation Ltd - 7.47% - 16/09/2021","HDB Financial Services Ltd - 7.8% - 29/06/2020","LIC Housing Finance Ltd - 7.81% - 19/10/2021","Indian Railway Finance Corporation Ltd - 7.2% - 31/05/2020","Power Grid Corporation of India Ltd - 8.13% - 25/04/2021","Power Finance Corporation Ltd - 7.27% - 22/12/2021","Housing Development Finance Corporation Ltd - 1.5% - 18/06/2020","Sovereign","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","CRISIL AAA","201.07","134.36","89.68","75.05","74.21","70.26","70.01","51.22","49.72","46.88","15.08","10.08","6.73","5.63","5.57","5.27","5.25","3.84","3.73","3.52",0,0,88.86,"N.A",8.07,3.09,"43.09","64.70","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","473.1","Sep-17","546.9","Jun-17","613.1","Mar-17","714.4","Dec-16","769.5","Sep-16","787.5","Jun-16","774.3","Mar-16","3,756.1","Dec-15","798.4","Sep-15","641.9","Jun-15","662.0","Mar-15","685.0","Dec-14","874.4","Sep-14","723.1","Jun-14","666.0","Mar-14","641.2","Dec-13","641.1","Sep-13","601.3","Jun-13","493.2","Mar-13","318.0","1,332.9","Nov-30-2017","MODERATELY LOW"
