"Plan_name","fund_family","fund_class","fund_type","investment_plan","asset_size","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","riskometer.x"
"UTI - Focussed Equity Fund - Series II (1102 days) - Direct Plan (G) ","UTI Mutual Fund","Diversified Equity","Close-Ended","Growth","1,091.2 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","BSE 200","Dec 18, 2014","2.2","6.1","9.8","27.9","15.7","9.2","-","192","152","164","162","196","167","-","13.4","-3.2","1.2","-","-","2.0","8.1","-1.6","-","-","2.5","6.8","-4.3","-","-","5.3","-8.7","-0.9","-","-","27.6","4.7","-3.2","-","-","13.09 (Nov 24, 17)","10.10 (Dec 29, 16)","HDFC Bank","IndusInd Bank","Maruti Suzuki","Infosys","ICICI Bank","TCS","M&M Financial","IOC","Titan Company","Tata Motors","Banking/Finance","Banking/Finance","Automotive","Technology","Banking/Finance","Technology","Banking/Finance","Oil & Gas","Miscellaneous","Automotive","82.93","78.12","72.92","71.29","52.04","52.00","51.64","43.18","38.94","35.80","7.60","7.16","6.68","6.53","4.77","4.77","4.73","3.96","3.57","3.28",95.35,0,0.5,"N.A",0,4.14,"32.74","53.05","63.45","Banking/Finance","Automotive","Technology","Oil & Gas","Pharmaceuticals","Engineering","29.79","19.40","14.26","8.13","4.24","3.78","28.00","19.18","12.11","8.02","3.08","5.65","28.00","19.18","12.11","8.02","3.08","5.65","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","34.9","Sep-17","33.6","Jun-17","32.4","Mar-17","29.9","Dec-16","28.5","Sep-16","29.1","Jun-16","26.4","Mar-16","39.8","Dec-15","26.5","Sep-15","27.2","Jun-15","27.3","Mar-15","27.9","Dec-14","0.2","HIGH"
"UTI - Focussed Equity Fund - Series II (1102 days) - Regular Plan (G) ","UTI Mutual Fund","Diversified Equity","Close-Ended","Growth","1,091.2 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","BSE 200","Dec 18, 2014","2.1","5.8","9.1","26.1","14.0","7.4","-","193","167","176","171","206","180","-","12.9","-3.6","0.7","-","-","1.6","7.7","-2.0","-","-","2.2","6.4","-4.7","-","-","5.0","-9.0","-1.4","-","-","25.8","3.0","-4.9","-","-","12.48 (Nov 24, 17)","9.76 (Dec 29, 16)","HDFC Bank","IndusInd Bank","Maruti Suzuki","Infosys","ICICI Bank","TCS","M&M Financial","IOC","Titan Company","Tata Motors","Banking/Finance","Banking/Finance","Automotive","Technology","Banking/Finance","Technology","Banking/Finance","Oil & Gas","Miscellaneous","Automotive","82.93","78.12","72.92","71.29","52.04","52.00","51.64","43.18","38.94","35.80","7.60","7.16","6.68","6.53","4.77","4.77","4.73","3.96","3.57","3.28",95.35,0,0.5,"N.A",0,4.14,"32.74","53.05","63.45","Banking/Finance","Automotive","Technology","Oil & Gas","Pharmaceuticals","Engineering","29.79","19.40","14.26","8.13","4.24","3.78","28.00","19.18","12.11","8.02","3.08","5.65","28.00","19.18","12.11","8.02","3.08","5.65","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","1,049.7","Sep-17","1,015.3","Jun-17","982.7","Mar-17","909.5","Dec-16","870.2","Sep-16","894.4","Jun-16","812.8","Mar-16","1,311.5","Dec-15","824.7","Sep-15","847.9","Jun-15","853.7","Mar-15","876.8","Dec-14","6.8","HIGH"
"UTI - Focussed Equity Fund - Series IV (1104 days) - Direct Plan (G) ","UTI Mutual Fund","Diversified Equity","Close-Ended","Growth","356.9 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","BSE 200","Sep 25, 2017","3.5","7.0","-","-","-","-","-","56","109","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.8","-","-","-","-","6.8","-","-","-","-","10.91 (Jan 15, 18)","10.01 (Sep 29, 17)","Tata Motors","M&M Financial","Axis Bank","ICICI Bank","Cipla","Container Corp","Motherson Sumi","Gujarat Gas","Federal Bank","Aditya Birla F","Automotive","Banking/Finance","Banking/Finance","Banking/Finance","Pharmaceuticals","Services","Automotive","Oil & Gas","Banking/Finance","Real Estate","18.91","15.74","15.65","15.17","15.07","12.73","12.24","11.63","11.44","11.17","5.30","4.41","4.39","4.25","4.22","3.57","3.43","3.26","3.20","3.13",66.89,0,0,"N.A",0,33.1,"22.57","39.16","32.36","Banking/Finance","Automotive","Miscellaneous","Pharmaceuticals","Services","Oil & Gas","16.25","8.73","7.38","6.52","5.37","3.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","15.2","Sep-17","0.3","HIGH"
"UTI - Focussed Equity Fund - Series IV (1104 days) - Regular Plan (G) ","UTI Mutual Fund","Diversified Equity","Close-Ended","Growth","356.9 Nov-30-2017",5000,"N.A.","N.A.","N.A.","N.A.","BSE 200","Sep 25, 2017","3.3","6.3","-","-","-","-","-","65","135","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","6.2","-","-","-","-","6.2","-","-","-","-","10.83 (Jan 15, 18)","10.01 (Oct 04, 17)","Tata Motors","M&M Financial","Axis Bank","ICICI Bank","Cipla","Container Corp","Motherson Sumi","Gujarat Gas","Federal Bank","Aditya Birla F","Automotive","Banking/Finance","Banking/Finance","Banking/Finance","Pharmaceuticals","Services","Automotive","Oil & Gas","Banking/Finance","Real Estate","18.91","15.74","15.65","15.17","15.07","12.73","12.24","11.63","11.44","11.17","5.30","4.41","4.39","4.25","4.22","3.57","3.43","3.26","3.20","3.13",66.89,0,0,"N.A",0,33.1,"22.57","39.16","32.36","Banking/Finance","Automotive","Miscellaneous","Pharmaceuticals","Services","Oil & Gas","16.25","8.73","7.38","6.52","5.37","3.26","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","305.6","Sep-17","6.6","HIGH"
"UTI - Focussed Equity Fund - Series V (1102 days) - Direct Plan (G) ","UTI Mutual Fund","Diversified Equity","Close-Ended","Growth","0.0 ",5000,"N.A.","N.A.","N.A.","N.A.","BSE 200","Dec 04, 2017","1.1","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.9","-","-","-","-","0.9","-","-","-","-","10.20 (Jan 15, 18)","10.03 (Dec 18, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","4.0","HIGH"
"UTI - Focussed Equity Fund - Series V (1102 days) - Regular Plan (G) ","UTI Mutual Fund","Diversified Equity","Close-Ended","Growth","0.0 ",5000,"N.A.","N.A.","N.A.","N.A.","BSE 200","Dec 04, 2017","0.9","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","0.8","-","-","-","-","0.8","-","-","-","-","10.18 (Jan 15, 18)","10.03 (Dec 18, 17)","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","114.2","HIGH"
"UTI - Wealth Builder Fund - Retail Plan (G) ","UTI Mutual Fund","Equity Oriented Hybrid Speciality Funds","Open-Ended","Growth","971.4 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Nov 19, 2008","2.8","4.2","6.0","15.9","15.3","6.0","7.7","18","24","31","27","23","34","31","7.3","-0.5","1.7","4.0","-7.8","2.1","6.8","-2.0","13.0","-3.1","1.0","4.0","-3.5","3.3","1.1","4.4","-4.4","-1.7","1.2","4.1","16.8","7.0","-3.7","22.7","-4.0","34.10 (Jan 15, 18)","29.40 (Jan 20, 17)","HDFC Bank","Infosys","ICICI Bank","Larsen","Maruti Suzuki","Grasim","ITC","M&M","IDFC","NTPC","Banking/Finance","Technology","Banking/Finance","Engineering","Automotive","Conglomerates","Tobacco","Automotive","Banking/Finance","Utilities","39.64","35.48","34.88","32.33","30.60","25.15","22.98","22.30","21.96","20.97","4.08","3.65","3.59","3.33","3.15","2.59","2.37","2.30","2.26","2.16",65.89,0.19,18.69,"N.A",8.67,6.59,"17.80","29.48","29.33","Technology","Banking/Finance","Automotive","Metals & Mining","Utilities","Pharmaceuticals","11.86","11.48","5.99","5.99","5.99","5.02","10.26","11.92","7.76","3.11","3.37","7.00","10.26","11.92","7.76","3.11","3.37","7.00","Dec-17","946.8","Sep-17","920.5","Jun-17","874.8","Mar-17","789.1","Dec-16","712.9","Sep-16","475.7","Jun-16","383.8","Mar-16","564.6","Dec-15","394.6","Sep-15","420.9","Jun-15","452.4","Mar-15","481.0","Dec-14","487.9","Sep-14","505.4","Jun-14","493.4","Mar-14","487.1","Dec-13","520.2","Sep-13","521.6","Jun-13","544.6","Mar-13","589.4","MODERATELY HIGH"
"UTI Balanced Fund - Direct Plan (G) ","UTI Mutual Fund","Balanced","Open-Ended","Growth","4,523.6 Nov-30-2017",1000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","3.6","6.7","9.9","25.0","22.8","12.4","15.2","2","10","10","10","12","15","28","9.5","-3.8","2.5","4.8","-4.6","3.9","9.5","-1.6","15.4","-0.5","2.0","5.7","-0.3","5.2","-1.5","6.9","-3.8","0.6","4.3","11.5","26.2","9.1","2.7","33.2","5.9","182.04 (Jan 15, 18)","143.79 (Jan 20, 17)","ICICI Bank","HDFC Bank","ITC","Sun Pharma","Tata Motors","Infosys","Grasim","Larsen","NTPC","Dr Reddys Labs","Banking/Finance","Banking/Finance","Tobacco","Pharmaceuticals","Automotive","Technology","Conglomerates","Engineering","Utilities","Pharmaceuticals","197.50","175.27","145.83","104.80","98.39","95.53","92.15","91.73","83.53","81.84","4.37","3.87","3.22","2.32","2.18","2.11","2.04","2.03","1.85","1.81",72.56,0.15,16.99,"0.04",6.74,3.48,"15.96","25.80","27.39","Banking/Finance","Technology","Automotive","Utilities","Pharmaceuticals","Conglomerates","12.78","8.08","6.53","5.72","5.34","4.34","14.85","7.77","5.36","2.99","8.24","3.01","14.85","7.77","5.36","2.99","8.24","3.01","Dec-17","175.8","Sep-17","113.2","Jun-17","69.5","Mar-17","47.0","Dec-16","37.9","Sep-16","30.3","Jun-16","15.1","Mar-16","41.7","Dec-15","10.8","Sep-15","9.3","Jun-15","8.1","Mar-15","7.4","Dec-14","5.9","Sep-14","4.2","Jun-14","2.6","Mar-14","1.8","Dec-13","1.3","Sep-13","0.9","Jun-13","0.6","Mar-13","0.2","MODERATELY HIGH"
"UTI Balanced Fund (G) ","UTI Mutual Fund","Balanced","Open-Ended","Growth","4,523.6 Nov-30-2017",1000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 1995","3.6","6.5","9.4","24.1","22.0","11.8","14.7","3","12","15","12","16","20","29","9.3","-3.9","2.4","4.8","-4.3","3.7","9.4","-1.7","15.3","-0.5","1.8","5.6","-0.5","5.1","-1.5","6.7","-4.0","0.5","4.3","11.4","25.3","8.6","2.3","32.8","6.0","178.00 (Jan 15, 18)","141.60 (Jan 20, 17)","ICICI Bank","HDFC Bank","ITC","Sun Pharma","Tata Motors","Infosys","Grasim","Larsen","NTPC","Dr Reddys Labs","Banking/Finance","Banking/Finance","Tobacco","Pharmaceuticals","Automotive","Technology","Conglomerates","Engineering","Utilities","Pharmaceuticals","197.50","175.27","145.83","104.80","98.39","95.53","92.15","91.73","83.53","81.84","4.37","3.87","3.22","2.32","2.18","2.11","2.04","2.03","1.85","1.81",72.56,0.15,16.99,"0.04",6.74,3.48,"15.96","25.80","27.39","Banking/Finance","Technology","Automotive","Utilities","Pharmaceuticals","Conglomerates","12.78","8.08","6.53","5.72","5.34","4.34","14.85","7.77","5.36","2.99","8.24","3.01","14.85","7.77","5.36","2.99","8.24","3.01","Dec-17","4,219.7","Sep-17","3,203.7","Jun-17","2,386.8","Mar-17","1,885.0","Dec-16","1,656.9","Sep-16","1,542.2","Jun-16","1,359.1","Mar-16","1,823.2","Dec-15","1,287.5","Sep-15","1,284.9","Jun-15","1,262.9","Mar-15","1,279.2","Dec-14","1,215.6","Sep-14","1,153.0","Jun-14","1,043.7","Mar-14","939.0","Dec-13","922.6","Sep-13","868.6","Jun-13","913.0","Mar-13","943.0","MODERATELY HIGH"
"UTI Banking & PSU Debt Fund - Direct Plan (G) ","UTI Mutual Fund","Debt Short Term","Open-Ended","Growth","1,423.4 Nov-30-2017",5000,"N.A.","N.A.","N.A.","0.25%","","Jan 30, 2014","0.2","1.0","2.6","6.1","8.9","8.9","-","42","38","37","47","18","20","-","1.3","2.6","2.1","1.6","-","1.9","1.9","1.9","2.3","-","1.8","3.3","2.1","2.0","-","1.0","2.8","2.0","2.2","-","6.2","11.6","8.7","8.5","-","14.09 (Jan 17, 18)","13.26 (Feb 09, 17)","NCD LIC HOUSING FINANCE LTD.","NCD SMALL INDST. DEV. BANK OF INDIA","NCD ONGC MANGALORE PETROCHEMICALS LTD.","NCD POWER GRID CORPORATION OF INDIA LTD","NCD NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","NCD INDIAN RAILWAYS FIN CORPN LTD.","NCD NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","NCD INDIAN RAILWAYS FIN CORPN LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD EXIM BANK","CRISIL-AAA","CARE-AAA","FITCH-AAA","ICRA-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","100.40","88.18","75.95","67.03","50.55","50.47","50.17","50.09","30.23","26.71","7.05","6.20","5.34","4.71","3.55","3.55","3.52","3.52","2.12","1.88",0,0,62.32,"N.A",14.54,23.13,"26.85","41.44","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","978.9","Sep-17","1,065.6","Jun-17","1,230.7","Mar-17","1,640.6","Dec-16","1,137.5","Sep-16","794.4","Jun-16","799.0","Mar-16","1,449.0","Dec-15","86.7","Sep-15","39.8","Jun-15","50.8","Mar-15","60.7","Dec-14","27.6","Sep-14","26.3","Jun-14","29.9","Mar-14","65.9","MODERATE"
"UTI Banking & PSU Debt Fund - Regular Plan (G) ","UTI Mutual Fund","Debt Short Term","Open-Ended","Growth","1,423.4 Nov-30-2017",5000,"N.A.","N.A.","N.A.","0.25%","","Jan 30, 2014","0.3","1.0","2.6","6.1","8.9","8.8","-","57","39","43","47","22","23","-","1.3","2.5","2.1","1.5","-","1.8","1.9","1.9","2.2","-","1.8","3.3","2.1","2.0","-","0.9","2.8","2.0","2.1","-","6.2","11.5","8.6","8.3","-","14.04 (Jan 17, 18)","13.22 (Feb 09, 17)","NCD LIC HOUSING FINANCE LTD.","NCD SMALL INDST. DEV. BANK OF INDIA","NCD ONGC MANGALORE PETROCHEMICALS LTD.","NCD POWER GRID CORPORATION OF INDIA LTD","NCD NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","NCD INDIAN RAILWAYS FIN CORPN LTD.","NCD NATIONAL BANK FOR AGRICULTURE & RURAL DEVELOPMENT","NCD INDIAN RAILWAYS FIN CORPN LTD.","NCD POWER FINANCE CORPORATION LTD.","NCD EXIM BANK","CRISIL-AAA","CARE-AAA","FITCH-AAA","ICRA-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","CRISIL-AAA","100.40","88.18","75.95","67.03","50.55","50.47","50.17","50.09","30.23","26.71","7.05","6.20","5.34","4.71","3.55","3.55","3.52","3.52","2.12","1.88",0,0,62.32,"N.A",14.54,23.13,"26.85","41.44","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","189.6","Sep-17","258.6","Jun-17","254.9","Mar-17","169.8","Dec-16","127.0","Sep-16","73.3","Jun-16","41.5","Mar-16","121.7","Dec-15","18.2","Sep-15","17.5","Jun-15","20.8","Mar-15","36.4","Dec-14","21.3","Sep-14","24.8","Jun-14","33.1","Mar-14","60.4","MODERATE"
"UTI Banking Sector Fund - Direct Plan (G) ","UTI Mutual Fund","Sector - Banking & Finance","Open-Ended","Growth","691.8 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","Bank Nifty","Feb 01, 2013","4.4","5.5","8.9","40.1","37.2","14.4","16.7","6","14","6","10","6","8","7","20.2","-4.9","-4.5","12.0","-13.0","8.9","18.5","-1.6","22.8","0.7","4.5","9.0","-4.9","-0.4","-19.4","5.1","-11.1","-2.9","22.4","15.4","45.5","13.5","-10.7","65.4","-14.9","107.71 (Jan 15, 18)","75.11 (Jan 23, 17)","HDFC Bank","ICICI Bank","IndusInd Bank","M&M Financial","Bank of Baroda","DCB Bank","Federal Bank","Equitas Holding","Yes Bank","LIC Housing Fin","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","163.13","114.82","60.66","29.59","26.21","25.02","24.90","22.14","21.48","20.36","23.58","16.60","8.77","4.28","3.79","3.62","3.60","3.20","3.11","2.94",99.63,0,0.04,"N.A",0,0.34,"57.02","73.49","97.87","Banking/Finance","Miscellaneous","Manufacturing","Conglomerates","-","-","88.80","6.65","2.42","1.76","-","-","94.81","2.02","0.00","0.00","-","-","94.81","2.02","0.00","0.00","-","-","Dec-17","45.5","Sep-17","41.8","Jun-17","34.0","Mar-17","27.0","Dec-16","23.5","Sep-16","22.3","Jun-16","33.8","Mar-16","57.1","Dec-15","33.0","Sep-15","33.5","Jun-15","33.4","Mar-15","35.6","Dec-14","33.9","Sep-14","28.5","Jun-14","8.6","Mar-14","8.5","Dec-13","6.8","Sep-13","4.5","Jun-13","3.8","Mar-13","1.7","HIGH"
"UTI Banking Sector Fund (G) ","UTI Mutual Fund","Sector - Banking & Finance","Open-Ended","Growth","691.8 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","Bank Nifty","Jan 08, 2015","3.4","5.3","8.7","37.8","36.7","13.2","15.4","7","22","10","15","11","10","8","19.9","-5.1","-4.7","11.8","-12.4","8.6","18.2","-1.9","22.6","0.5","4.2","8.7","-5.1","-0.6","-19.7","4.8","-11.3","-3.2","22.0","15.1","43.9","12.3","-11.6","64.0","-14.9","102.29 (Jan 15, 18)","72.14 (Jan 23, 17)","HDFC Bank","ICICI Bank","IndusInd Bank","M&M Financial","Bank of Baroda","DCB Bank","Federal Bank","Equitas Holding","Yes Bank","LIC Housing Fin","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","163.13","114.82","60.66","29.59","26.21","25.02","24.90","22.14","21.48","20.36","23.58","16.60","8.77","4.28","3.79","3.62","3.60","3.20","3.11","2.94",99.63,0,0.04,"N.A",0,0.34,"57.02","73.49","97.87","Banking/Finance","Miscellaneous","Manufacturing","Conglomerates","-","-","88.80","6.65","2.42","1.76","-","-","94.81","2.02","0.00","0.00","-","-","94.81","2.02","0.00","0.00","-","-","Dec-17","640.8","Sep-17","602.0","Jun-17","543.8","Mar-17","463.3","Dec-16","425.9","Sep-16","456.6","Jun-16","378.2","Mar-16","512.6","Dec-15","358.3","Sep-15","369.2","Jun-15","373.1","Mar-15","386.9","Dec-14","351.5","Sep-14","320.3","Jun-14","331.1","Mar-14","300.5","Dec-13","301.0","Sep-13","283.4","Jun-13","348.1","Mar-13","378.3","HIGH"
"UTI Bluechip Flexicap Fund - Direct Plan (G) ","UTI Mutual Fund","Large Cap","Open-Ended","Growth","2,147.3 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","BSE 200","Jan 01, 2013","3.9","7.4","14.3","35.9","25.1","11.0","15.3","19","49","14","12","43","64","68","15.5","-2.6","4.6","7.2","-5.5","3.4","9.3","-4.4","14.8","2.7","5.2","4.2","-4.3","6.0","-1.7","8.8","-9.6","-2.0","5.7","8.9","38.8","2.6","-3.0","38.7","6.0","34.65 (Jan 11, 18)","25.32 (Jan 20, 17)","Bajaj Finance","IndusInd Bank","Yes Bank","HDFC Bank","Infosys","Kotak Mahindra","Motherson Sumi","HDFC","TCS","Astral Poly Tec","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Technology","Banking/Finance","Automotive","Banking/Finance","Technology","Manufacturing","141.40","121.16","107.65","103.44","78.19","68.72","65.74","56.81","56.36","55.86","6.59","5.64","5.01","4.82","3.64","3.20","3.06","2.65","2.62","2.60",97.57,0,0.28,"N.A",0,2.1,"25.70","39.83","53.63","Banking/Finance","Pharmaceuticals","Technology","Automotive","Miscellaneous","Engineering","30.69","12.53","10.41","10.24","7.19","5.45","34.87","11.40","10.99","9.55","5.05","4.79","34.87","11.40","10.99","9.55","5.05","4.79","Dec-17","160.3","Sep-17","144.4","Jun-17","128.7","Mar-17","109.2","Dec-16","92.5","Sep-16","67.1","Jun-16","55.2","Mar-16","10.1","Dec-15","2.9","Sep-15","2.9","Jun-15","2.8","Mar-15","3.2","Dec-14","2.9","Sep-14","1.9","Jun-14","1.0","Mar-14","0.7","Dec-13","0.6","Sep-13","0.5","Jun-13","0.3","Mar-13","0.1","HIGH"
"UTI Bluechip Flexicap Fund (G) ","UTI Mutual Fund","Large Cap","Open-Ended","Growth","2,147.3 Nov-30-2017",5000,"N.A.","N.A.","N.A.","1.00%","BSE 200","Jan 30, 2006","3.9","7.3","14.0","35.3","24.7","10.7","14.9","20","51","20","14","46","69","77","15.4","-2.6","4.5","7.1","-4.7","3.3","9.2","-4.4","14.7","2.6","5.1","4.1","-4.3","5.9","-1.8","8.6","-9.7","-2.0","5.7","8.8","38.2","2.3","-3.2","38.3","6.5","34.09 (Jan 11, 18)","25.02 (Jan 20, 17)","Bajaj Finance","IndusInd Bank","Yes Bank","HDFC Bank","Infosys","Kotak Mahindra","Motherson Sumi","HDFC","TCS","Astral Poly Tec","Banking/Finance","Banking/Finance","Banking/Finance","Banking/Finance","Technology","Banking/Finance","Automotive","Banking/Finance","Technology","Manufacturing","141.40","121.16","107.65","103.44","78.19","68.72","65.74","56.81","56.36","55.86","6.59","5.64","5.01","4.82","3.64","3.20","3.06","2.65","2.62","2.60",97.57,0,0.28,"N.A",0,2.1,"25.70","39.83","53.63","Banking/Finance","Pharmaceuticals","Technology","Automotive","Miscellaneous","Engineering","30.69","12.53","10.41","10.24","7.19","5.45","34.87","11.40","10.99","9.55","5.05","4.79","34.87","11.40","10.99","9.55","5.05","4.79","Dec-17","1,961.0","Sep-17","1,827.2","Jun-17","1,715.2","Mar-17","1,748.4","Dec-16","1,693.5","Sep-16","1,741.0","Jun-16","1,558.8","Mar-16","1,786.8","Dec-15","1,521.4","Sep-15","1,601.6","Jun-15","1,635.9","Mar-15","1,786.1","Dec-14","1,753.7","Sep-14","1,582.5","Jun-14","570.1","Mar-14","525.0","Dec-13","536.4","Sep-13","522.9","Jun-13","562.4","Mar-13","600.4","HIGH"
