"Plan_name","fund_family","fund_class","fund_type","investment_plan","asset_size","minimum_investment","last_divident","bonus","entry_load","exit_load","benchmark","launch_date","performance_returns_1_mth","performance_r16urns_3_mth","performance_returns_6_mth","performance_returns_1_year","performance_returns_2_year","performance_returns_3_year","performance_returns_5_year","performance_r15k_1_mth","performance_rank_3_mth","performance_rank_6_mth","performance_rank_1_year","performance_rank_2_year","performance_rank_3_year","performance_r14k_5_year","performance_absolute_returns_2017_Qtr1","performance_absolute_returns_2016_Qtr1","performance_absolute_returns_2015_Qtr1","performance_absolute_returns_2014_Qtr1","performance_absolute_returns_2013_Qtr1","performance_a13olute_returns_2017_Qtr2","performance_absolute_returns_2016_Qtr2","performance_absolute_returns_2015_Qtr2","performance_absolute_returns_2014_Qtr2","performance_absolute_returns_2013_Qtr2","performance_absolute_returns_2017_Qtr3","performance_a12olute_returns_2016_Qtr3","performance_absolute_returns_2015_Qtr3","performance_absolute_returns_2014_Qtr3","performance_absolute_returns_2013_Qtr3","performance_absolute_returns_2017_Qtr4","performance_absolute_returns_2016_Qtr4","performance_ab11lute_returns_2015_Qtr4","performance_absolute_returns_2014_Qtr4","performance_absolute_returns_2013_Qtr4","performance_absolute_returns_2017_annual","performance_absolute_returns_2016_annual","performance_absolute_returns_2015_annual","performance_ab10lute_returns_2014_annual","performance_absolute_returns_2013_annual","nav_52_week_high","nav_52_week_low","portfolio_equity_1","portfolio_equity_2","portfolio_equity_3","portfolio_equity_4","portfolio_equity_5","portfolio_equity_6","portfolio_equity_7","portfolio_equity_8","portfolio_equity_9","portfolio_equity_10","portfolio_sector_1","portfolio_sector_2","portfolio_sector_3","portfolio_sector_4","portfolio_sector_5","portfolio_sector_6","portfolio_sector_7","portfolio_sector_8","portfolio_sector_9","portfolio_sector_10","portfolio_value_1","portfolio_value_2","portfolio_value_3","portfolio_value_4","portfolio_value_5","portfolio_value_6","portfolio_value_7","portfolio_value_8","portfolio_value_9","portfolio_value_10","portfolio_asset_1","portfolio_asset_2","portfolio_asset_3","portfolio_asset_4","portfolio_asset_5","portfolio_asset_6","portfolio_asset_7","portfolio_asset_8","portfolio_asset_9","portfolio_asset_10","portfolio_asset_allocation_eqity","portfolio_asset_allocation_others","portfolio_asset_allocation_debt","portfolio_asset_allocation_mutual_funds","portfolio_asset_allocation_money_market","portfolio_asset_allocation_cash_call","portfolio_conc1tration_holding_top5","portfolio_concentration_holding_top10","portfolio_concentration_sector_top3","portfolio_sector_right_bottom_1","portfolio_sector_right_bottom_2","portfolio_sector_right_bottom_3","portfolio_sector_right_bottom_4","portfolio_sector_right_bottom_5","portfolio_sector_right_bottom_6","portfolio_sector_percentage_right_bottom_1","portfolio_sector_percentage_right_bottom_2","portfolio_sector_percentage_right_bottom_3","portfolio_sector_percentage_right_bottom_4","portfolio_sector_percentage_right_bottom_5","portfolio_sector_percentage_right_bottom_6","portfolio_sector_high_right_bottom_1","portfolio_sector_high_right_bottom_2","portfolio_sector_high_right_bottom_3","portfolio_sector_high_right_bottom_4","portfolio_sector_high_right_bottom_5","portfolio_sector_high_right_bottom_6","portfolio_sector_low_right_bottom_1","portfolio_sector_low_right_bottom_2","portfolio_sector_low_right_bottom_3","portfolio_sector_low_right_bottom_4","portfolio_sector_low_right_bottom_5","portfolio_sector_low_right_bottom_6","asset_size_1date","asset_size_1value","asset_size_2date","asset_size_2value","asset_size_3date","asset_size_3value","asset_size_4date","asset_size_4value","asset_size_5date","asset_size_5value","asset_size_6date","asset_size_6value","asset_size_7date","asset_size_7value","asset_size_8date","asset_size_8value","asset_size_9date","asset_size_9value","asset_size_10date","asset_size_10value","asset_size_11date","asset_size_11value","asset_size_12date","asset_size_12value","asset_size_13date","asset_size_13value","asset_size_14date","asset_size_14value","asset_size_15date","asset_size_15value","asset_size_16date","asset_size_16value","asset_size_17date","asset_size_17value","asset_size_18date","asset_size_18value","asset_size_19date","asset_size_19value","asset_size_20date","asset_size_20value","riskometer.x","riskometer.y","riskometer"
"ICICI Prudential Dynamic Bond - Direct Plan (G) ","ICICI Prudential Mutual Fund","Debt Long Term","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","-0.6","-0.7","0.2","4.5","9.8","8.6","9.3","66","58","58","31","20","16","17","0.5","3.3","2.9","1.9","1.7","3.4","2.3","-0.1","4.2","3.5","1.8","5.2","4.3","2.1","-2.8","-0.8","2.1","0.5","5.2","2.8","4.9","14.3","8.2","14.0","5.4","20.32 (Sep 06, 17)","18.88 (Mar 10, 17)","Government Securities","Government Securities","Government Securities","State Government of Maharashtra","The Great Eastern Shipping Company Ltd","State Government of Haryana","The Great Eastern Shipping Company Ltd","Government Securities","Vodafone Mobile Services Ltd.","Clp Wind Farms (India) Pvt. Ltd.","SOV","SOV","SOV","SOV","BWR AAA","SOV","BWR AAA","SOV","FITCH AA+","FITCH AA","161.91","127.93","54.65","37.39","25.03","22.92","22.23","20.87","20.25","13.17","26.07","20.60","8.80","6.02","4.03","3.69","3.58","3.36","3.26","2.12",0,0,95.17,"N.A",0,4.86,"65.52","81.53","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","621.0","Sep-17","656.2","Jun-17","492.3","Mar-17","517.2","Dec-16","515.9","Sep-16","467.9","Jun-16","398.6","Mar-16","367.7","Dec-15","435.4","Sep-15","446.2","Jun-15","430.7","Mar-15","310.4","Dec-14","318.7","Sep-14","308.3","Jun-14","300.6","Mar-14","333.7","Dec-13","419.6","Sep-13","486.4","Jun-13","394.0","Mar-13","145.0","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Dynamic Bond - Premium Plan (G) ","ICICI Prudential Mutual Fund","Debt Long Term","Open-Ended","Growth","Dec-29-2017",5000000,"N.A.","N.A.","N.A.","1.00%","","Jun 11, 2009","-","-","-","-","-","-","-","8","43","43","-","46","-","-","1.9","-","0.5","-","-","-","-","1.3","-","-","-","1.2","1.4","-","-","-","2.1","-","-","-","1.9","3.3","3.4","-","-","10.53 (Mar 29, 12)","0.00 ()","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-",0,0,0,"N.A",0,0,"-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Dynamic Bond - Premium Plus Plan (G) ","ICICI Prudential Mutual Fund","Debt Long Term","Open-Ended","Growth","Dec-29-2017",50000000,"N.A.","N.A.","N.A.","1.00%","","Jun 11, 2009","-0.5","-0.6","0.5","5.0","10.4","9.2","9.7","60","53","55","26","11","8","11","0.6","3.4","3.0","1.9","2.3","3.5","2.5","-","4.3","3.5","1.9","5.4","4.5","2.2","-2.8","-0.7","2.2","0.6","5.3","2.7","5.4","15.0","8.7","14.4","6.0","20.57 (Sep 06, 17)","19.07 (Mar 10, 17)","Government Securities","Government Securities","State Government of Maharashtra","India Infoline Finance Ltd.","The Great Eastern Shipping Company Ltd.","State Government of Haryana","The Great Eastern Shipping Company Ltd.","Government Securities","Export-Import Bank Of India","Vodafone Mobile Services Ltd.^^","SOV","SOV","SOV","ICRA AA","BWR AAA","SOV","BWR AAA","SOV","CRISIL AAA","FITCH AA+","373.08","366.12","84.54","80.96","56.22","51.82","49.89","47.01","47.03","45.43","23.95","23.51","5.43","5.20","3.61","3.33","3.20","3.02","3.02","2.92",0,0,94.94,"N.A",0,5.08,"61.70","77.19","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Mar-14","0.1","Dec-13","2.3","Sep-13","2.6","Jun-13","2.6","Mar-13","2.5","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Dynamic Bond - Regular Plan (G) ","ICICI Prudential Mutual Fund","Debt Long Term","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Jun 11, 2009","-0.6","-1.0","-0.2","3.6","9.0","7.9","8.6","73","73","68","58","41","36","34","0.2","3.2","2.7","1.8","2.3","3.2","2.2","-0.2","4.0","3.3","1.6","5.0","4.2","1.9","-3.0","-1.0","1.9","0.4","5.0","2.7","4.0","13.6","7.5","13.3","5.6","19.72 (Sep 06, 17)","18.40 (Mar 10, 17)","Government Securities","Government Securities","Government Securities","State Government of Maharashtra","The Great Eastern Shipping Company Ltd","State Government of Haryana","The Great Eastern Shipping Company Ltd","Government Securities","Vodafone Mobile Services Ltd.","Clp Wind Farms (India) Pvt. Ltd.","SOV","SOV","SOV","SOV","BWR AAA","SOV","BWR AAA","SOV","FITCH AA+","FITCH AA","261.13","206.34","88.15","60.30","40.37","36.96","35.86","33.66","32.65","21.24","26.07","20.60","8.80","6.02","4.03","3.69","3.58","3.36","3.26","2.12",0,0,95.17,"N.A",0,4.86,"65.52","81.53","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","1,001.6","Sep-17","857.8","Jun-17","830.4","Mar-17","1,076.7","Dec-16","957.2","Sep-16","737.1","Jun-16","509.8","Mar-16","2,764.0","Dec-15","558.0","Sep-15","555.6","Jun-15","556.8","Mar-15","507.8","Dec-14","328.5","Sep-14","332.6","Jun-14","430.9","Mar-14","628.7","Dec-13","765.0","Sep-13","800.1","Jun-13","485.9","Mar-13","280.4","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Dynamic Plan - Direct Plan (G) ","ICICI Prudential Mutual Fund","Diversified Equity","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Jan 01, 2013","3.4","8.6","11.9","26.5","27.0","13.3","18.2","86","77","110","161","91","96","71","11.8","-4.2","2.0","6.3","-7.3","1.8","8.9","-3.7","17.6","-1.9","2.5","6.8","-4.9","4.2","6.7","9.5","-1.2","4.6","4.9","14.5","28.8","12.8","-0.8","37.8","13.8","279.52 (Jan 17, 18)","219.41 (Jan 20, 17)","ICICI Bank","ITC","Larsen","Infosys","Bharti Airtel","HDFC","Tata Chemicals","ONGC","HCL Tech","Power Grid Corp","Banking/Finance","Tobacco","Engineering","Technology","Telecom","Banking/Finance","Chemicals","Oil & Gas","Technology","Utilities","64.42","45.82","41.17","37.44","36.75","35.58","32.44","31.63","31.40","28.37","5.54","3.94","3.54","3.22","3.16","3.06","2.79","2.72","2.70","2.44",65.9,3.89,10.46,"3.02",3.95,12.86,"19.40","33.11","28.03","Banking/Finance","Technology","Utilities","Pharmaceuticals","Engineering","Tobacco","15.99","6.07","5.97","4.79","4.55","3.94","12.26","9.76","6.34","7.95","2.37","0.00","12.26","9.76","6.34","7.95","2.37","0.00","Dec-17","1,162.9","Sep-17","1,000.9","Jun-17","960.7","Mar-17","865.7","Dec-16","723.4","Sep-16","669.7","Jun-16","661.3","Mar-16","608.0","Dec-15","579.6","Sep-15","496.3","Jun-15","438.5","Mar-15","367.7","Dec-14","276.6","Sep-14","190.1","Jun-14","97.5","Mar-14","49.4","Dec-13","32.4","Sep-13","28.7","Jun-13","20.4","Mar-13","14.4","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Dynamic Plan - Institutional Option - I  ","ICICI Prudential Mutual Fund","Diversified Equity","Open-Ended","Growth","Dec-29-2017",10000000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Mar 10, 2006","3.4","8.6","11.9","26.5","27.0","13.3","18.2","86","77","110","161","91","96","71","11.8","-4.2","2.0","6.3","-5.3","1.8","8.9","-3.7","17.6","-1.7","2.5","6.8","-4.9","4.2","6.9","9.5","-1.2","4.6","4.9","14.7","28.8","12.8","-0.8","37.8","16.8","44.85 (Jan 17, 18)","35.20 (Jan 20, 17)","ICICI Bank","ITC","Larsen","Infosys","Bharti Airtel","HDFC","Tata Chemicals","ONGC","HCL Tech","Power Grid Corp","Banking/Finance","Tobacco","Engineering","Technology","Telecom","Banking/Finance","Chemicals","Oil & Gas","Technology","Utilities","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","5.54","3.94","3.54","3.22","3.16","3.06","2.79","2.72","2.70","2.44",65.9,3.89,10.46,"3.02",3.95,12.86,"19.40","33.11","28.03","Banking/Finance","Technology","Utilities","Pharmaceuticals","Engineering","Tobacco","15.99","6.07","5.97","4.79","4.55","3.94","12.26","9.76","6.34","7.95","2.37","0.00","12.26","9.76","6.34","7.95","2.37","0.00","Dec-17","0.3","Sep-17","0.3","Jun-17","0.5","Mar-17","0.5","Dec-16","0.5","Sep-16","0.7","Jun-16","0.7","Mar-16","0.6","Dec-15","0.7","Sep-15","0.7","Jun-15","0.7","Mar-15","0.9","Dec-14","0.9","Sep-14","1.1","Jun-14","2.8","Mar-14","9.1","Dec-13","10.0","Sep-13","10.9","Jun-13","11.7","Mar-13","13.7","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Dynamic Plan - Institutional Plan (G) ","ICICI Prudential Mutual Fund","Diversified Equity","Open-Ended","Growth","Dec-29-2017",10000000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","May 13, 2011","3.4","8.6","11.9","26.5","27.0","13.3","18.2","86","77","110","161","91","96","71","11.8","-4.2","2.0","6.3","-5.3","1.8","8.9","-3.7","17.5","-1.8","2.5","6.8","-4.9","4.2","6.8","9.5","-1.2","4.6","4.9","14.6","28.8","12.8","-0.8","37.8","16.6","26.36 (Jan 17, 18)","20.69 (Jan 20, 17)","ICICI Bank","ITC","Larsen","Infosys","Bharti Airtel","HDFC","Tata Chemicals","ONGC","HCL Tech","Power Grid Corp","Banking/Finance","Tobacco","Engineering","Technology","Telecom","Banking/Finance","Chemicals","Oil & Gas","Technology","Utilities","0.02","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","0.01","5.54","3.94","3.54","3.22","3.16","3.06","2.79","2.72","2.70","2.44",65.9,3.89,10.46,"3.02",3.95,12.86,"19.40","33.11","28.03","Banking/Finance","Technology","Utilities","Pharmaceuticals","Engineering","Tobacco","15.99","6.07","5.97","4.79","4.55","3.94","12.26","9.76","6.34","7.95","2.37","0.00","12.26","9.76","6.34","7.95","2.37","0.00","Dec-17","0.1","Sep-17","0.1","Jun-17","0.1","Mar-17","0.1","Dec-16","0.1","Sep-16","0.1","Jun-16","0.0","Mar-16","0.0","Dec-15","0.1","Sep-15","0.1","Jun-15","0.1","Mar-15","0.1","Dec-14","0.1","Sep-14","0.1","Jun-14","1.9","Mar-14","7.2","Dec-13","6.8","Sep-13","6.0","Jun-13","5.9","Mar-13","6.2","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Dynamic Plan (G) ","ICICI Prudential Mutual Fund","Diversified Equity","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","S&P CNX Nifty","Oct 18, 2002","3.3","8.3","11.3","25.3","25.9","12.3","17.1","93","89","123","170","107","119","87","11.6","-4.3","1.8","6.1","-5.6","1.6","8.7","-3.9","17.3","-2.0","2.2","6.6","-5.1","4.0","6.5","9.2","-1.4","4.3","4.7","14.3","27.6","11.9","-1.6","36.8","15.4","268.45 (Jan 17, 18)","212.76 (Jan 20, 17)","ICICI Bank","ITC","Larsen","Infosys","Bharti Airtel","HDFC","Tata Chemicals","ONGC","HCL Tech","Power Grid Corp","Banking/Finance","Tobacco","Engineering","Technology","Telecom","Banking/Finance","Chemicals","Oil & Gas","Technology","Utilities","430.91","306.46","275.35","250.46","245.79","238.01","217.01","211.57","210.01","189.79","5.54","3.94","3.54","3.22","3.16","3.06","2.79","2.72","2.70","2.44",65.9,3.89,10.46,"3.02",3.95,12.86,"19.40","33.11","28.03","Banking/Finance","Technology","Utilities","Pharmaceuticals","Engineering","Tobacco","15.99","6.07","5.97","4.79","4.55","3.94","12.26","9.76","6.34","7.95","2.37","0.00","12.26","9.76","6.34","7.95","2.37","0.00","Dec-17","7,778.2","Sep-17","6,240.1","Jun-17","5,514.3","Mar-17","5,286.9","Dec-16","5,035.2","Sep-16","5,030.9","Jun-16","4,709.7","Mar-16","4,511.6","Dec-15","4,959.4","Sep-15","5,129.8","Jun-15","5,416.8","Mar-15","5,497.5","Dec-14","5,172.9","Sep-14","4,804.6","Jun-14","4,151.7","Mar-14","3,604.6","Dec-13","3,523.7","Sep-13","3,352.5","Jun-13","3,533.8","Mar-13","3,851.0","MODERATELY HIGH","MODERATELY HIGH","MODERATELY HIGH"
"ICICI Prudential Equity-Arbitrage Fund - Institutional Plan (G) ","ICICI Prudential Mutual Fund","Arbitrage & Arbitrage Plus","Open-Ended","Growth","Dec-29-2017",50000000,"N.A.","N.A.","N.A.","0.25%","","Nov 08, 2006","0.5","1.5","2.8","5.5","6.1","6.5","7.5","37","37","40","40","35","37","16","1.3","1.6","2.3","2.3","2.7","1.3","1.6","2.0","2.1","2.0","1.4","1.8","1.4","2.1","2.1","1.1","1.6","1.5","1.7","2.5","5.2","6.8","7.5","8.5","9.8","22.93 (Jan 17, 18)","21.76 (Jan 18, 17)","ITC","Reliance","Sun Pharma","Bharti Airtel","SBI","Tata Motors","UPL","HDFC","Tata Power","LIC Housing Fin","Tobacco","Oil & Gas","Pharmaceuticals","Telecom","Banking/Finance","Automotive","Chemicals","Banking/Finance","Utilities","Banking/Finance","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","2.49","2.27","2.25","2.23","2.18","1.90","1.86","1.56","1.43","1.40",58.21,2.97,21.18,"N.A",3.65,14.17,"11.42","19.57","29.86","Banking/Finance","Pharmaceuticals","Automotive","Oil & Gas","Telecom","Engineering","16.66","6.73","6.47","4.10","3.23","3.11","20.24","5.52","7.57","5.29","0.62","3.43","20.24","5.52","7.57","5.29","0.62","3.43","Dec-17","0.0","Sep-17","0.0","Jun-17","0.0","Mar-17","0.0","Dec-16","0.0","Sep-16","0.0","Jun-16","0.0","Mar-16","0.0","Dec-15","0.0","Sep-15","0.0","Jun-15","0.0","Mar-15","0.0","Dec-14","0.0","Sep-14","0.0","Jun-14","0.0","Mar-14","0.0","Dec-13","0.0","Sep-13","0.0","Jun-13","0.0","Mar-13","0.0","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Equity-Arbitrage Fund - Retail Plan (G) ","ICICI Prudential Mutual Fund","Arbitrage & Arbitrage Plus","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","0.25%","","Nov 08, 2006","0.5","1.5","3.0","5.9","6.3","6.6","7.6","34","32","36","34","26","29","14","1.4","1.6","2.3","2.4","2.6","1.4","1.5","2.0","2.1","2.0","1.5","1.8","1.4","2.1","2.2","1.2","1.7","1.5","1.7","2.5","5.6","6.9","7.5","8.6","9.9","22.71 (Jan 17, 18)","21.48 (Jan 18, 17)","ITC","Reliance","Sun Pharma","Bharti Airtel","SBI","Tata Motors","UPL","HDFC","Tata Power","LIC Housing Fin","Tobacco","Oil & Gas","Pharmaceuticals","Telecom","Banking/Finance","Automotive","Chemicals","Banking/Finance","Utilities","Banking/Finance","108.74","99.14","98.26","97.39","95.21","82.98","81.23","68.13","62.45","61.14","2.49","2.27","2.25","2.23","2.18","1.90","1.86","1.56","1.43","1.40",58.21,2.97,21.18,"N.A",3.65,14.17,"11.42","19.57","29.86","Banking/Finance","Pharmaceuticals","Automotive","Oil & Gas","Telecom","Engineering","16.66","6.73","6.47","4.10","3.23","3.11","20.24","5.52","7.57","5.29","0.62","3.43","20.24","5.52","7.57","5.29","0.62","3.43","Dec-17","4,367.3","Sep-17","4,237.1","Jun-17","4,251.2","Mar-17","4,129.0","Dec-16","3,837.4","Sep-16","3,547.3","Jun-16","2,736.0","Mar-16","2,515.3","Dec-15","2,632.7","Sep-15","2,672.1","Jun-15","1,590.4","Mar-15","797.2","Dec-14","861.6","Sep-14","612.6","Jun-14","348.2","Mar-14","256.6","Dec-13","159.7","Sep-13","94.5","Jun-13","43.7","Mar-13","30.7","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Equity Arbitrage Fund - Direct Plan (G) ","ICICI Prudential Mutual Fund","Arbitrage & Arbitrage Plus","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","0.25%","","Jan 01, 2013","0.6","1.7","3.3","6.5","6.9","7.2","8.3","25","19","21","15","9","13","4","1.5","1.8","2.4","2.5","2.6","1.5","1.7","2.1","2.3","2.2","1.7","2.0","1.5","2.2","2.3","1.3","1.8","1.7","1.8","2.7","6.2","7.5","8.0","9.1","10.2","23.35 (Jan 17, 18)","21.94 (Jan 18, 17)","ITC","Reliance","Sun Pharma","Bharti Airtel","SBI","Tata Motors","UPL","HDFC","Tata Power","LIC Housing Fin","Tobacco","Oil & Gas","Pharmaceuticals","Telecom","Banking/Finance","Automotive","Chemicals","Banking/Finance","Utilities","Banking/Finance","156.32","142.51","141.26","140.00","136.86","119.28","116.77","97.94","89.78","87.89","2.49","2.27","2.25","2.23","2.18","1.90","1.86","1.56","1.43","1.40",58.21,2.97,21.18,"N.A",3.65,14.17,"11.42","19.57","29.86","Banking/Finance","Pharmaceuticals","Automotive","Oil & Gas","Telecom","Engineering","16.66","6.73","6.47","4.10","3.23","3.11","20.24","5.52","7.57","5.29","0.62","3.43","20.24","5.52","7.57","5.29","0.62","3.43","Dec-17","6,277.9","Sep-17","5,535.6","Jun-17","3,894.4","Mar-17","2,881.4","Dec-16","2,494.7","Sep-16","1,871.1","Jun-16","1,286.0","Mar-16","1,029.4","Dec-15","1,028.1","Sep-15","1,083.8","Jun-15","678.8","Mar-15","409.5","Dec-14","270.0","Sep-14","286.4","Jun-14","210.1","Mar-14","143.7","Dec-13","79.1","Sep-13","18.8","Jun-13","0.5","Mar-13","0.1","MODERATE","MODERATE","MODERATE"
"ICICI Prudential Exports and Other Services Fund - Direct Plan (G) ","ICICI Prudential Mutual Fund","Diversified Equity","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Jan 01, 2013","3.0","8.0","13.6","27.9","17.8","13.7","25.9","89","88","47","132","193","85","4","11.8","-9.2","8.7","3.8","0.6","3.3","7.0","-2.8","16.6","2.2","1.9","3.1","7.4","21.5","17.2","10.5","-6.0","0.9","3.1","16.5","31.0","-3.6","17.0","52.2","41.6","63.05 (Jan 15, 18)","48.27 (Jan 31, 17)","VRL Logistics","Sun Pharma","SpiceJet","Motherson Sumi","Tech Mahindra","AstraZeneca","Lupin","Infosys","HDFC Bank","HDFC","Services","Pharmaceuticals","Services","Automotive","Technology","Pharmaceuticals","Pharmaceuticals","Technology","Banking/Finance","Banking/Finance","10.26","8.39","8.09","7.95","7.85","5.98","5.76","5.50","5.31","5.29","9.33","7.63","7.36","7.23","7.14","5.44","5.24","5.00","4.83","4.81",92.45,0,0,"N.A",0,7.54,"38.69","64.01","70.12","Pharmaceuticals","Services","Technology","Banking/Finance","Automotive","Engineering","27.83","27.19","15.10","12.07","7.23","2.37","34.23","18.81","15.04","2.94","6.71","0.00","34.23","18.81","15.04","2.94","6.71","0.00","Dec-17","110.0","Sep-17","99.1","Jun-17","94.4","Mar-17","96.5","Dec-16","107.6","Sep-16","125.1","Jun-16","115.5","Mar-16","114.2","Dec-15","98.9","Sep-15","83.7","Jun-15","63.3","Mar-15","51.9","Dec-14","40.6","Sep-14","27.8","Jun-14","18.0","Mar-14","14.4","Dec-13","7.3","Sep-13","2.7","Jun-13","0.1","Mar-13","0.0","HIGH","HIGH","HIGH"
"ICICI Prudential Exports and Other Services Fund (G) ","ICICI Prudential Mutual Fund","Diversified Equity","Open-Ended","Growth","Dec-29-2017",5000,"N.A.","N.A.","N.A.","1.00%","","Nov 18, 2005","2.8","7.7","13.0","26.9","16.8","12.8","25.0","97","96","59","141","196","104","8","11.7","-9.4","8.5","3.6","1.9","3.1","6.8","-2.9","16.5","2.1","1.7","2.8","7.3","21.3","17.0","10.2","-6.2","0.7","3.0","16.3","30.0","-4.6","16.3","51.2","42.7","60.75 (Jan 15, 18)","46.87 (Jan 31, 17)","VRL Logistics","Sun Pharma","SpiceJet","Motherson Sumi","Tech Mahindra","AstraZeneca","Lupin","Infosys","HDFC Bank","HDFC","Services","Pharmaceuticals","Services","Automotive","Technology","Pharmaceuticals","Pharmaceuticals","Technology","Banking/Finance","Banking/Finance","50.46","41.27","39.81","39.10","38.62","29.42","28.34","27.04","26.12","26.01","9.33","7.63","7.36","7.23","7.14","5.44","5.24","5.00","4.83","4.81",92.45,0,0,"N.A",0,7.54,"38.69","64.01","70.12","Pharmaceuticals","Services","Technology","Banking/Finance","Automotive","Engineering","27.83","27.19","15.10","12.07","7.23","2.37","34.23","18.81","15.04","2.94","6.71","0.00","34.23","18.81","15.04","2.94","6.71","0.00","Dec-17","540.9","Sep-17","522.3","Jun-17","575.3","Mar-17","550.2","Dec-16","587.9","Sep-16","695.9","Jun-16","700.5","Mar-16","675.0","Dec-15","671.6","Sep-15","612.3","Jun-15","550.4","Mar-15","538.6","Dec-14","504.4","Sep-14","435.2","Jun-14","360.7","Mar-14","285.1","Dec-13","183.3","Sep-13","152.4","Jun-13","140.8","Mar-13","151.6","HIGH","HIGH","HIGH"
"ICICI Prudential Flexible Income Plan - Direct Plan (G) ","ICICI Prudential Mutual Fund","Ultra Short Term Debt","Open-Ended","Growth","Dec-29-2017",500,"N.A.","N.A.","N.A.","N.A.","","Jan 01, 2013","0.4","1.2","3.0","6.9","8.2","8.4","8.9","126","121","91","54","43","39","19","1.8","2.2","2.2","2.4","1.9","1.8","2.0","2.0","2.3","2.1","1.8","2.5","2.2","2.1","2.2","1.2","1.9","1.9","2.3","2.5","7.1","9.2","8.9","9.5","9.4","329.61 (Jan 17, 18)","308.45 (Jan 18, 17)","Indiabulls Housing Finance Ltd.","Piramal Finance Ltd.","State Government of Rajasthan","Government Securities","Vodafone Mobile Services Ltd.^^","Indiabulls Housing Finance Ltd.","NABARD","HDFC Ltd.","State Government of Rajasthan","Vodafone Mobile Services Ltd.^^","CARE AAA","ICRA AA","SOV","SOV","FITCH AA+","BWR AAA","FITCH AAA","CRISIL AAA","SOV","FITCH AA+","664.35","572.26","393.35","361.78","318.36","299.94","298.63","268.37","248.64","235.48","5.05","4.35","2.99","2.75","2.42","2.28","2.27","2.04","1.89","1.79",0,0,59.76,"N.A",37.77,2.48,"17.56","27.83","N.A.","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","Dec-17","13,155.5","Sep-17","12,637.1","Jun-17","10,945.2","Mar-17","9,947.2","Dec-16","8,985.2","Sep-16","8,945.8","Jun-16","6,675.6","Mar-16","6,535.2","Dec-15","7,541.4","Sep-15","6,381.2","Jun-15","5,609.5","Mar-15","5,300.1","Dec-14","5,144.2","Sep-14","4,651.8","Jun-14","4,027.7","Mar-14","3,863.2","Dec-13","4,535.2","Sep-13","2,760.7","Jun-13","4,469.4","Mar-13","3,013.1","MODERATELY LOW","MODERATELY LOW","MODERATELY LOW"
